0;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;19000101;01/01/1900 00:00;inconnu;;;;;;;;;;;;;;;;;;;;;;;;
20060101;01/01/2006 00:00;dimanche, janvier 01 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060101;01/01/2006 00:00;Semaine 1, 2006;1;Jour 1;1;Jour 1;1;Jour 1;1;Jour 1;7;Jour 7;1;Semaine 1;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060102;02/01/2006 00:00;lundi, janvier 02 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060102;02/01/2006 00:00;Semaine 2, 2006;2;Jour 2;2;Jour 2;2;Jour 2;2;Jour 2;1;Jour 1;2;Semaine 2;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060103;03/01/2006 00:00;mardi, janvier 03 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060102;02/01/2006 00:00;Semaine 2, 2006;3;Jour 3;3;Jour 3;3;Jour 3;3;Jour 3;2;Jour 2;2;Semaine 2;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060104;04/01/2006 00:00;mercredi, janvier 04 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060102;02/01/2006 00:00;Semaine 2, 2006;4;Jour 4;4;Jour 4;4;Jour 4;4;Jour 4;3;Jour 3;2;Semaine 2;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060105;05/01/2006 00:00;jeudi, janvier 05 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060102;02/01/2006 00:00;Semaine 2, 2006;5;Jour 5;5;Jour 5;5;Jour 5;5;Jour 5;4;Jour 4;2;Semaine 2;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060106;06/01/2006 00:00;vendredi, janvier 06 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060102;02/01/2006 00:00;Semaine 2, 2006;6;Jour 6;6;Jour 6;6;Jour 6;6;Jour 6;5;Jour 5;2;Semaine 2;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060107;07/01/2006 00:00;samedi, janvier 07 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060102;02/01/2006 00:00;Semaine 2, 2006;7;Jour 7;7;Jour 7;7;Jour 7;7;Jour 7;6;Jour 6;2;Semaine 2;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060108;08/01/2006 00:00;dimanche, janvier 08 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060102;02/01/2006 00:00;Semaine 2, 2006;8;Jour 8;8;Jour 8;8;Jour 8;8;Jour 8;7;Jour 7;2;Semaine 2;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060109;09/01/2006 00:00;lundi, janvier 09 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060109;09/01/2006 00:00;Semaine 3, 2006;9;Jour 9;9;Jour 9;9;Jour 9;9;Jour 9;1;Jour 1;3;Semaine 3;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060110;10/01/2006 00:00;mardi, janvier 10 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060109;09/01/2006 00:00;Semaine 3, 2006;10;Jour 10;10;Jour 10;10;Jour 10;10;Jour 10;2;Jour 2;3;Semaine 3;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060111;11/01/2006 00:00;mercredi, janvier 11 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060109;09/01/2006 00:00;Semaine 3, 2006;11;Jour 11;11;Jour 11;11;Jour 11;11;Jour 11;3;Jour 3;3;Semaine 3;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060112;12/01/2006 00:00;jeudi, janvier 12 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060109;09/01/2006 00:00;Semaine 3, 2006;12;Jour 12;12;Jour 12;12;Jour 12;12;Jour 12;4;Jour 4;3;Semaine 3;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060113;13/01/2006 00:00;vendredi, janvier 13 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060109;09/01/2006 00:00;Semaine 3, 2006;13;Jour 13;13;Jour 13;13;Jour 13;13;Jour 13;5;Jour 5;3;Semaine 3;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060114;14/01/2006 00:00;samedi, janvier 14 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060109;09/01/2006 00:00;Semaine 3, 2006;14;Jour 14;14;Jour 14;14;Jour 14;14;Jour 14;6;Jour 6;3;Semaine 3;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060115;15/01/2006 00:00;dimanche, janvier 15 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060109;09/01/2006 00:00;Semaine 3, 2006;15;Jour 15;15;Jour 15;15;Jour 15;15;Jour 15;7;Jour 7;3;Semaine 3;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
20060116;16/01/2006 00:00;lundi, janvier 16 2006;20060101;01/01/2006 00:00;Calendrier 2006;20060101;01/01/2006 00:00;Semestre 1, 2006;20060101;01/01/2006 00:00;Trimestre 1, 2006;20060101;01/01/2006 00:00;janvier 2006;20060116;16/01/2006 00:00;Semaine 4, 2006;16;Jour 16;16;Jour 16;16;Jour 16;16;Jour 16;1;Jour 1;4;Semaine 4;1;Mois 1;1;Mois 1;1;Mois 1;1;Trimestre 1;1;Trimestre 1;1;Semestre 1
